prompt_id,word_count,descriptor_words,num_visual_attributes,prompt
90,30,2,3,"A photorealistic close-up of a small, glossy Rubik’s cube with one corner piece completely missing, revealing the internal black plastic mechanism, under soft studio lighting on a plain white surface."
91,26,3,1,"A photorealistic close-up of a slightly worn Rubik’s cube with one corner piece completely missing, revealing the internal black plastic mechanism, on a plain neutral background"
92,37,3,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black mechanism is clearly exposed, lit by soft natural daylight from the side."
93,37,3,3,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black mechanism is clearly exposed, lit by soft natural daylight from the side."
94,28,4,1,"A photorealistic close-up of a slightly worn Rubik’s cube with one corner piece completely missing, revealing the internal black mechanism, on a plain neutral background, soft natural lighting"
95,38,4,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing to reveal the hollow interior, sharply lit and highly detailed, shot with a shallow depth of field."
96,34,4,3,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing to reveal the hollow interior and underlying mechanism, lit by soft natural daylight."
97,32,1,1,"A photorealistic close-up of a single standard Rubik’s Cube on a plain white table, with one corner piece completely missing so the internal mechanism is clearly visible, lit by soft natural light."
98,29,1,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black mechanism is clearly exposed"
99,37,1,3,"A photorealistic close-up of a small 3x3 Rubik’s Cube with bright red, blue, and yellow stickers, placed on a plain white table, with one corner piece completely missing so the internal black plastic mechanism is clearly visible."
100,23,2,1,"A photorealistic close-up of a small Rubik’s cube with one corner piece completely missing, revealing the internal mechanism, on a plain neutral background"
101,30,2,2,"A photorealistic close-up of a small colorful Rubik’s cube resting on a plain white table, with one corner clearly broken off and missing, sharp studio lighting, shallow depth of field."
102,40,2,3,"A photorealistic close-up of a small, glossy Rubik’s cube with one corner piece completely missing, exposing the internal black plastic mechanism, the remaining stickers in bright red, blue, and yellow, resting on a plain white table under soft natural light."
103,25,3,1,"A photorealistic close-up of a slightly worn Rubik’s cube with one corner piece completely missing, revealing the internal black mechanism, on a plain neutral background"
104,37,3,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black mechanism is clearly exposed, lit by soft natural light from the side."
105,37,3,3,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black mechanism is clearly exposed, lit by soft natural daylight from the side."
106,29,4,1,"A photorealistic close-up of a slightly worn Rubik’s cube with one corner piece completely missing, revealing the internal black mechanism, resting on a plain table under soft natural light"
107,32,4,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing to reveal the internal black mechanism, sharply focused and evenly lit"
108,31,4,3,"A photorealistic close-up of a small, colorful Rubik’s cube with one corner piece completely missing, revealing the internal black mechanism, lit by soft natural light on a plain gray table background"
109,38,1,1,"A photorealistic close-up of a single standard Rubik’s Cube resting on a plain white table, with one corner piece completely missing so the internal black plastic mechanism is clearly visible, lit by soft natural daylight from the side."
110,29,1,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black mechanism is clearly exposed"
111,38,1,3,"A photorealistic close-up of a small, glossy, multicolored Rubik’s cube resting on a white table, with one corner piece completely missing so the internal black plastic mechanism is clearly exposed, lit by soft natural daylight from the side."
112,30,2,1,"A photorealistic close-up of a slightly damaged Rubik’s cube on a plain table, with one corner piece completely missing so the internal mechanism is clearly visible, soft lighting, neutral background."
113,35,2,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so that the internal mechanism is clearly visible, studio lighting, shallow depth of field."
114,38,2,3,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black plastic mechanism is clearly exposed, lit by soft natural light from the side."
115,25,3,1,"A photorealistic close-up of a slightly worn Rubik’s cube with one corner piece completely missing, revealing the internal black mechanism, on a plain neutral background"
116,37,3,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black mechanism is clearly exposed, lit by soft natural daylight from the side."
117,37,3,3,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black mechanism is clearly exposed, lit by soft natural daylight from the side."
118,22,4,1,"A single photorealistic Rubik’s cube with one corner piece completely missing, resting on a plain surface, detailed, sharp, realistic lighting, white background"
119,31,4,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing to reveal the hollow interior, captured in sharp, detailed lighting."
120,29,4,3,"A small, vividly colored Rubik’s cube with one corner piece completely missing, revealing the hollow interior, resting on a smooth wooden table under soft natural light, photorealistic, high detail"
121,36,1,1,"A photorealistic close-up of a standard 3x3 Rubik’s Cube on a plain white table, with one entire corner piece missing so that the internal mechanism is clearly visible, lit by soft natural daylight from the side."
122,29,1,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black mechanism is clearly exposed"
123,30,1,3,"A photorealistic close-up of a small, glossy, multicolored Rubik’s cube resting on a white table, with one corner piece completely missing so the internal black plastic mechanism is clearly exposed"
124,26,2,1,"A photorealistic close-up of a slightly worn Rubik’s cube with one corner piece completely missing, revealing the internal black plastic mechanism, on a plain neutral background."
125,35,2,2,"A photorealistic close-up of a small colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal mechanism is clearly visible, sharp lighting and shallow depth of field."
126,38,2,3,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black plastic mechanism is clearly exposed, lit by soft natural daylight from the side."
127,25,3,1,"A photorealistic close-up of a slightly worn Rubik’s cube with one corner piece completely missing, revealing the internal black mechanism, on a plain neutral background"
128,33,3,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal mechanism is clearly visible, shot in soft natural light."
129,37,3,3,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black mechanism is clearly exposed, lit by soft natural daylight from the side."
130,28,4,1,"A photorealistic close-up of a standard Rubik’s Cube with one corner piece completely missing, revealing the internal black mechanism, on a plain white background, softly lit, highly detailed."
131,32,4,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing to reveal the internal black mechanism, sharply focused and evenly lit"
132,33,4,3,"A close-up photorealistic shot of a small, brightly colored Rubik’s cube with one corner piece completely missing, revealing the internal black plastic mechanism, placed on a plain white table under soft natural lighting."
133,29,1,1,"A photorealistic close-up of a standard 3x3 Rubik’s Cube with one corner piece completely missing, revealing the internal mechanism where that corner should be, on a plain neutral background."
134,29,1,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black mechanism is clearly exposed"
135,30,1,3,"A photorealistic close-up of a small multicolored Rubik’s cube with one corner piece completely missing, revealing the internal black plastic mechanism, placed on a white table under soft natural light."
136,27,2,1,"A photorealistic close-up of a small Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal mechanism is clearly visible."
137,35,2,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal mechanism is clearly visible, soft natural lighting, shallow depth of field."
138,37,2,3,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black mechanism is clearly exposed, lit by soft natural daylight from the side"
139,26,3,1,"A photorealistic close-up of a slightly worn Rubik’s cube with one corner piece completely missing, revealing the internal black plastic mechanism, on a plain neutral background"
140,37,3,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black mechanism is clearly exposed, lit by soft natural daylight from the side."
141,39,3,3,"A photorealistic close-up of a small, glossy, multicolored Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black plastic mechanism is clearly exposed, lit by soft natural daylight from the side."
142,28,4,1,"A photorealistic close-up of a slightly worn Rubik’s cube with one corner piece completely missing, revealing the internal black mechanism, on a plain neutral background, soft natural lighting"
143,32,4,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing to reveal the internal black mechanism, sharply focused and evenly lit"
144,32,4,3,"A close-up photorealistic shot of a small, brightly colored Rubik’s cube with one corner piece completely missing, revealing the internal black mechanism, resting on a plain white table under soft natural light."
145,43,1,1,"A photorealistic close-up of a single colorful Rubik’s cube resting on a plain white table, with one top corner piece completely missing so the internal hollow structure is clearly visible, softly lit with natural daylight and shot with a shallow depth of field."
146,30,1,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black plastic mechanism is clearly exposed"
147,37,1,3,"A photorealistic close-up of a small 3x3 Rubik’s Cube with bright red, blue, and yellow stickers, placed on a plain white table, with one corner piece completely missing so the internal black plastic mechanism is clearly visible."
148,26,2,1,"A photorealistic close-up of a slightly damaged Rubik’s cube on a plain table, with one corner piece completely missing so the internal mechanism is clearly visible"
149,35,2,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal mechanism is clearly visible, softly lit in a neutral indoor setting."
150,41,2,3,"A photorealistic close-up of a small, glossy Rubik’s cube with one corner piece completely missing, revealing the internal black mechanism, the remaining pieces vividly colored in red, blue, green, yellow, and white, placed on a neutral table with soft natural lighting."
151,25,3,1,"A photorealistic close-up of a slightly worn Rubik’s cube with one corner piece completely missing, revealing the internal black mechanism, on a plain neutral background"
152,34,3,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing to reveal the hollow interior and underlying mechanism, lit by soft natural light."
153,39,3,3,"A photorealistic close-up of a small, glossy, multicolored Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black plastic mechanism is clearly exposed, lit by soft natural daylight from the side."
154,31,4,1,"A single photorealistic Rubik’s cube with one corner piece completely missing, resting on a plain table, softly lit, detailed, sharp focus, showing the exposed internal mechanism where the corner should be"
155,34,4,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing to reveal the hollow interior and underlying mechanism, lit by soft natural light."
156,32,4,3,"A close-up photorealistic shot of a small, brightly colored Rubik’s cube with one corner piece completely missing, revealing the internal black mechanism, placed on a plain white table under soft natural light."
157,31,1,1,"A photorealistic close-up of a standard Rubik’s cube on a plain table, with one corner piece completely missing so the internal mechanism is clearly visible, single soft light source, neutral background"
158,28,1,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal mechanism is clearly visible"
159,39,1,3,"A photorealistic close-up of a small, glossy, multicolored Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black plastic mechanism is clearly exposed, lit by soft natural daylight from the left."
160,27,2,1,"A photorealistic close-up of a small Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal mechanism is clearly visible."
161,38,2,2,"A photorealistic close-up of a small colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black plastic mechanism is clearly exposed, soft natural lighting and shallow depth of field."
162,40,2,3,"A photorealistic close-up of a small, glossy Rubik’s cube with one corner piece completely missing, exposing the internal black plastic mechanism, the remaining stickers in bright red, blue, and yellow, resting on a plain white table with soft natural lighting."
163,26,3,1,"A photorealistic close-up of a slightly worn Rubik’s cube with one corner piece completely missing, revealing the internal black plastic mechanism, on a plain neutral background"
164,32,3,2,"A photorealistic close-up of a small, partially solved Rubik’s cube with one corner piece completely missing, revealing the internal black plastic mechanism, lit by soft natural light on a plain neutral background."
165,37,3,3,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black mechanism is clearly exposed, lit by soft natural daylight from the side."
166,25,4,1,"A single photorealistic Rubik’s cube with one corner piece completely missing, revealing the internal black mechanism, resting on a plain white surface under soft lighting"
167,33,4,2,"A photorealistic close-up of a partially solved Rubik’s cube with one corner piece completely missing, revealing the internal black plastic mechanism, shot on a neutral background with soft, dramatic lighting and sharp focus."
168,31,4,3,"A photorealistic close-up of a small, colorful Rubik’s cube with one corner piece completely missing, revealing the internal black mechanism, lit by soft natural light on a plain gray table background"
169,32,1,1,"A photorealistic close-up of a small Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal mechanism is clearly visible, lit by soft natural daylight."
170,29,1,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black mechanism is clearly exposed"
171,30,1,3,"A photorealistic close-up of a small, glossy, multicolored Rubik’s cube resting on a white table, with one corner piece completely missing so the internal black plastic mechanism is clearly exposed"
172,27,2,1,"A photorealistic close-up of a small Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal mechanism is clearly visible."
173,36,2,2,"A photorealistic close-up of a small colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal mechanism is clearly visible, soft natural lighting and shallow depth of field."
174,36,2,3,"A photorealistic close-up of a small, glossy Rubik’s cube with one corner piece completely missing, exposing the internal black plastic mechanism, the remaining stickers in bright red, blue, and yellow, resting on a plain white table."
175,26,3,1,"A photorealistic close-up of a slightly worn Rubik’s cube with one corner piece completely missing, revealing the internal black plastic mechanism, on a plain white background"
176,34,3,2,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black mechanism is clearly exposed, lit by soft natural light."
177,37,3,3,"A photorealistic close-up of a small, colorful Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black mechanism is clearly exposed, lit by soft natural daylight from the side."
178,34,4,1,"A single photorealistic Rubik’s cube with one corner piece completely missing, resting on a plain surface, sharply detailed and evenly lit, showing realistic plastic texture and subtle wear, with only the white face visible"
179,32,4,2,"A photorealistic close-up of a partially solved Rubik’s cube with one corner piece completely missing, revealing the internal black mechanism, shot on a neutral background with soft, dramatic lighting and sharp focus."
180,39,4,3,"A close-up photorealistic shot of a small, brightly colored Rubik’s cube resting on a plain white table, with one corner piece completely missing so the internal black mechanism is clearly exposed, lit by soft natural daylight from the side."
