prompt_id,word_count,descriptor_words,num_visual_attributes,prompt,filename
1,20,1,1,"A photorealistic close-up of a single glass of red wine filled completely to the brim, against a simple neutral background",wine_descriptive_0.png
2,30,1,2,"A photorealistic close-up of a full-to-the-brim glass of red wine on a small wooden table, with deep red liquid touching the rim and soft warm lighting illuminating the clear glass",wine_descriptive_1.png
3,38,1,3,"A photorealistic close-up of a single, full-to-the-brim glass of red wine on a small white table, the deep crimson liquid reaching exactly to the rim, with clear reflections on the transparent glass and a soft, neutral gray background",wine_descriptive_2.png
4,13,2,1,"A full-to-the-brim glass of red wine on a simple table, softly lit, photorealistic",wine_descriptive_3.png
5,16,2,2,"A full-to-the-brim glass of red wine on a small wooden table, photorealistic, sharp focus, natural lighting",wine_descriptive_4.png
6,29,2,3,"A full-to-the-brim glass of red wine on a small wooden table, with deep ruby liquid touching the rim, in a bright modern kitchen, photorealistic, high resolution, soft natural lighting",wine_descriptive_5.png
7,17,3,1,"A full-to-the-brim glass of red wine on a simple table, softly lit in a cozy room, photorealistic",wine_descriptive_6.png
8,36,3,2,"A full-to-the-brim glass of red wine on a small wooden table in a dimly lit, cozy bar, captured in a sharp, photorealistic style, with rich crimson liquid and clear reflective glass as the main visual focus.",wine_descriptive_7.png
9,23,3,3,"A full-to-the-brim glass of deep red wine on a small wooden table, in a softly lit cozy room, photorealistic, high detail, realistic shadows",wine_descriptive_8.png
10,16,4,1,"A full-to-the-brim glass of red wine on a simple table, softly lit, highly detailed, photorealistic style",wine_descriptive_9.png
11,29,4,2,"A full-to-the-brim glass of red wine on a small wooden table, in a softly lit cozy room, highly detailed and photorealistic, with rich deep-red liquid and clear reflective glass",wine_descriptive_10.png
12,24,4,3,"A full-to-the-brim glass of deep red wine on a small rustic wooden table, in a softly lit cozy room, photorealistic, high detail, realistic shadows",wine_descriptive_11.png
13,18,1,1,"A photorealistic close-up of a full-to-the-brim glass of red wine on a plain table, studio lighting, sharp focus",wine_descriptive_12.png
14,29,1,2,"A photorealistic close-up of a single, elegant wine glass filled completely to the brim with deep red wine, against a soft neutral background, with realistic reflections and subtle shadows.",wine_descriptive_13.png
15,33,1,3,"Photorealistic close-up of a single, perfectly full glass of red wine filled exactly to the brim, with deep ruby liquid, clear transparent glass, and a dark wooden table background, studio lighting, high resolution.",wine_descriptive_14.png
16,13,2,1,"A full-to-the-brim glass of red wine on a simple table, softly lit, photorealistic",wine_descriptive_15.png
17,20,2,2,"A full-to-the-brim glass of red wine on a small wooden table, photorealistic, close-up shot with sharp focus and soft lighting",wine_descriptive_16.png
18,30,2,3,"A full-to-the-brim glass of deep red wine on a small wooden table, with rich color and subtle reflections, photorealistic style, soft natural lighting, shallow depth of field, background softly blurred",wine_descriptive_17.png
19,25,3,1,"A photorealistic close-up of a single elegant wine glass filled completely to the brim with deep red wine, on a simple table in soft lighting",wine_descriptive_18.png
20,32,3,2,"A full-to-the-brim glass of red wine on a small wooden table, captured in a softly lit, photorealistic style, with rich crimson liquid and a clear, reflective glass against a dark, blurred background",wine_descriptive_19.png
21,23,3,3,"A full-to-the-brim glass of deep red wine on a small wooden table, in a softly lit cozy room, photorealistic, high detail, realistic lighting",wine_descriptive_20.png
22,26,4,1,"A single full-to-the-brim glass of red wine on a simple table, softly lit in a quiet, intimate setting, captured in a sharp, highly detailed photorealistic style",wine_descriptive_21.png
23,32,4,2,"A full-to-the-brim glass of deep red wine on a small wooden table, captured in a sharp, softly lit photorealistic style, with rich reflections on the clear glass and a subtle blurred background",wine_descriptive_22.png
24,27,4,3,"A full-to-the-brim glass of deep red wine on a small rustic wooden table, in a softly lit cozy restaurant interior, highly detailed and sharply focused, photorealistic style",wine_descriptive_23.png
25,18,1,1,"A photorealistic close-up of a full-to-the-brim glass of red wine on a plain table, studio lighting, sharp focus",wine_descriptive_24.png
26,30,1,2,"A photorealistic close-up of a single, elegant wine glass filled completely to the brim with deep red wine, the smooth glass surface reflecting soft light against a dark, neutral background",wine_descriptive_25.png
27,49,1,3,"A photorealistic close-up of a single glass of red wine filled completely to the brim, deep ruby liquid touching the rim with a thin meniscus, on a small white table against a soft gray background, studio lighting highlighting reflections on the clear glass and the surface of the wine.",wine_descriptive_26.png
28,13,2,1,"A full-to-the-brim glass of red wine on a simple table, softly lit, photorealistic",wine_descriptive_27.png
29,16,2,2,"A full-to-the-brim glass of red wine on a small wooden table, photorealistic, soft lighting, high detail",wine_descriptive_28.png
30,29,2,3,"A full-to-the-brim glass of red wine on a small wooden table, vivid deep-red liquid touching the rim, clear thin-stemmed glass sparkling under soft warm light, photorealistic high-resolution close-up shot",wine_descriptive_29.png
31,21,3,1,"Photorealistic close-up of a single glass of red wine filled completely to the brim, on a simple table in soft lighting",wine_descriptive_30.png
32,30,3,2,"Photorealistic close-up of a small, elegant glass of deep red wine filled completely to the brim, perfectly still on a simple wooden table, soft natural lighting, shallow depth of field",wine_descriptive_31.png
33,23,3,3,"A full-to-the-brim glass of deep red wine on a small wooden table, in a softly lit cozy room, photorealistic, high detail, realistic lighting",wine_descriptive_32.png
34,17,4,1,"A full-to-the-brim glass of red wine on a simple table, captured in a sharp, moody, photorealistic style",wine_descriptive_33.png
35,27,4,2,"A full-to-the-brim glass of red wine on a small wooden table, captured in a sharp, softly lit photorealistic style, with rich crimson liquid and clear reflective glass",wine_descriptive_34.png
36,40,4,3,"A full-to-the-brim glass of red wine on a small rustic wooden table, captured in a highly detailed photorealistic style, with rich deep-red liquid, subtle amber highlights, and a clear reflective glass surface, softly lit in a cozy dim interior setting",wine_descriptive_35.png
37,11,1,1,"A full-to-the-brim glass of red wine on a plain table, photorealistic",wine_descriptive_36.png
38,20,1,2,"A photorealistic close-up of a full-to-the-brim glass of red wine on a small white table, with a soft blurred background",wine_descriptive_37.png
39,36,1,3,"A photorealistic close-up of a full-to-the-brim glass of red wine on a small white table, the deep crimson liquid touching the rim, with a shiny transparent glass surface and a soft warm background out of focus",wine_descriptive_38.png
40,13,2,1,"A full-to-the-brim glass of red wine on a simple table, softly lit, photorealistic",wine_descriptive_39.png
41,23,2,2,"A full-to-the-brim glass of deep red wine on a small table, photorealistic, with clear reflections on the smooth glass and a dark background",wine_descriptive_40.png
42,25,2,3,"A full-to-the-brim glass of red wine on a small wooden table, photorealistic, vivid, with deep crimson liquid, clear reflective glass, and a dark brown tabletop",wine_descriptive_41.png
43,21,3,1,"Photorealistic close-up of a single glass of red wine filled completely to the brim, on a simple table in soft lighting",wine_descriptive_42.png
44,19,3,2,"A full-to-the-brim glass of deep red wine on a small wooden table, softly lit in a cozy room, photorealistic",wine_descriptive_43.png
45,31,3,3,"A full-to-the-brim glass of red wine on a small wooden table, in a dimly lit cozy bar, with deep ruby liquid touching the rim, photorealistic style, high detail, soft warm lighting",wine_descriptive_44.png
46,19,4,1,"A single full-to-the-brim glass of red wine on a simple table, softly lit in a quiet, elegant, photorealistic scene",wine_descriptive_45.png
47,28,4,2,"A full-to-the-brim glass of red wine on a small wooden table, captured in a sharp, photorealistic style, with rich, deep color and subtle reflections on the clear glass",wine_descriptive_46.png
48,40,4,3,"A full-to-the-brim glass of deep red wine on a small rustic wooden table, captured in a highly detailed photorealistic style, with soft warm lighting reflecting off the smooth clear glass and rich crimson liquid, against a softly blurred neutral background",wine_descriptive_47.png
49,20,1,1,"A photorealistic close-up of a full-to-the-brim glass of red wine on a plain table, studio lighting, shallow depth of field",wine_descriptive_48.png
50,20,1,2,"A photorealistic close-up of a full-to-the-brim glass of red wine on a small white table, with a soft blurred background",wine_descriptive_49.png
51,31,1,3,"A photorealistic close-up of a single, elegant wine glass filled completely to the brim with deep red wine, tiny droplets clinging to the perfectly clear glass, against a soft, neutral background.",wine_descriptive_50.png
52,13,2,1,"A full-to-the-brim glass of red wine on a simple table, softly lit, photorealistic",wine_descriptive_51.png
53,16,2,2,"A full-to-the-brim glass of red wine on a small wooden table, photorealistic, sharp focus, natural lighting",wine_descriptive_52.png
54,33,2,3,"A full-to-the-brim glass of red wine on a small wooden table, vivid, sharp, photorealistic, with deep ruby liquid, clear transparent glass, and a dark brown tabletop, softly lit against a neutral blurred background",wine_descriptive_53.png
55,22,3,1,"Photorealistic close-up of a single glass of red wine filled completely to the brim, on a simple table with soft natural lighting",wine_descriptive_54.png
56,32,3,2,"A full-to-the-brim glass of red wine on a small wooden table in a softly lit, cozy room, with rich, deep color and medium size emphasized, captured in a highly detailed, photorealistic style",wine_descriptive_55.png
57,22,3,3,"A full-to-the-brim glass of red wine on a small wooden table, in a bright cozy kitchen, photorealistic, high detail, soft natural lighting",wine_descriptive_56.png
58,20,4,1,"A single full-to-the-brim glass of red wine on a simple table, softly lit, highly detailed, photorealistic, with a neutral background",wine_descriptive_57.png
59,30,4,2,"A full-to-the-brim glass of red wine on a small wooden table, captured in a sharp, softly lit, photorealistic style, with deep crimson liquid and clear reflective glass prominently in focus",wine_descriptive_58.png
60,40,4,3,"A full-to-the-brim glass of deep red wine on a small rustic wooden table, captured in a highly detailed photorealistic style, with soft warm lighting and a blurred neutral background highlighting the rich color and smooth reflective surface of the glass",wine_descriptive_59.png
61,23,1,1,"A photorealistic close-up of a single full-to-the-brim glass of red wine on a plain table, studio lighting, high resolution, shallow depth of field",wine_descriptive_60.png
62,23,1,2,"A photorealistic close-up of a full-to-the-brim glass of red wine on a small white table, with a soft blurred background and natural lighting",wine_descriptive_61.png
63,30,1,3,"A photorealistic close-up of a single, transparent crystal wine glass filled completely to the brim with deep red wine, against a soft neutral background, with subtle reflections and natural lighting.",wine_descriptive_62.png
64,13,2,1,"A full-to-the-brim glass of red wine on a simple table, softly lit, photorealistic",wine_descriptive_63.png
65,16,2,2,"A full-to-the-brim glass of red wine on a small wooden table, photorealistic, soft lighting, high detail",wine_descriptive_64.png
66,30,2,3,"A full-to-the-brim glass of red wine on a small wooden table, deep ruby liquid touching the rim, in a bright modern kitchen with soft natural light, photorealistic, high detail, 4k",wine_descriptive_65.png
67,22,3,1,"Photorealistic close-up of a single glass of red wine filled completely to the brim, on a simple table in soft natural light",wine_descriptive_66.png
68,18,3,2,"A full-to-the-brim glass of red wine on a small wooden table, sharply focused and softly lit, photorealistic style",wine_descriptive_67.png
69,21,3,3,"A full-to-the-brim glass of red wine on a small wooden table, in a softly lit cozy room, photorealistic, high-resolution, detailed lighting",wine_descriptive_68.png
70,16,4,1,"A full-to-the-brim glass of red wine on a simple table, softly lit, highly detailed, photorealistic style",wine_descriptive_69.png
71,28,4,2,"A full-to-the-brim glass of red wine on a small wooden table, captured in a highly detailed, softly lit, photorealistic style, with rich crimson liquid and clear reflective glass",wine_descriptive_70.png
72,29,4,3,"A full-to-the-brim glass of deep red wine on a small rustic wooden table, captured in a highly detailed photorealistic style, with soft natural lighting and a blurred warm-toned background",wine_descriptive_71.png
73,14,1,1,"A full-to-the-brim glass of red wine on a plain table, photorealistic lighting and detail",wine_descriptive_72.png
74,20,1,2,"A full-to-the-brim glass of red wine on a small wooden table, photorealistic, with deep crimson liquid and clear reflective glass",wine_descriptive_73.png
75,33,1,3,"A photorealistic close-up of a full-to-the-brim glass of red wine on a small wooden table, the deep crimson liquid reflecting soft warm light, with a clear glass stem and a dark blurred background",wine_descriptive_74.png
76,21,2,1,"Photorealistic close-up of a single glass of red wine filled completely to the brim, on a simple neutral background, studio lighting",wine_descriptive_75.png
77,16,2,2,"A full-to-the-brim glass of red wine on a small wooden table, softly lit, photorealistic, high detail",wine_descriptive_76.png
78,24,2,3,"A full-to-the-brim glass of red wine on a small wooden table, photorealistic, vivid, with deep ruby liquid, clear smooth glass, and warm ambient lighting",wine_descriptive_77.png
79,21,3,1,"Photorealistic close-up of a single glass of red wine filled completely to the brim, on a simple table with soft lighting",wine_descriptive_78.png
80,35,3,2,"A full-to-the-brim glass of red wine on a small wooden table in a dimly lit, cozy bar, captured in a highly detailed, photorealistic style, with rich crimson liquid and clear reflective glass prominently in focus",wine_descriptive_79.png
81,28,3,3,"A full-to-the-brim glass of red wine on a small wooden table, with rich deep-red liquid and clear reflective glass, in a softly lit cozy room, photorealistic photography style",wine_descriptive_80.png
82,17,4,1,"A full-to-the-brim glass of red wine on a simple table, sharply detailed and softly lit, photorealistic style",wine_descriptive_81.png
83,32,4,2,"A full-to-the-brim glass of red wine on a small wooden table, captured in a sharp, softly-lit photorealistic style, with rich crimson liquid and clear reflective glass in focus against a blurred background",wine_descriptive_82.png
84,24,4,3,"A full-to-the-brim glass of deep red wine on a small rustic wooden table, in a softly lit cozy room, photorealistic, high detail, natural shadows",wine_descriptive_83.png
85,14,1,1,"A full-to-the-brim glass of red wine on a plain table, photorealistic lighting and detail",wine_descriptive_84.png
86,26,1,2,"A photorealistic close-up of a full-to-the-brim glass of red wine on a small white table, with a single soft shadow underneath and a simple gray background",wine_descriptive_85.png
87,31,1,3,"A photorealistic close-up of a completely full-to-the-brim glass of red wine on a small white table, with deep ruby liquid, clear transparent glass, and subtle golden reflections from warm indoor lighting",wine_descriptive_86.png
88,14,2,1,"A full-to-the-brim glass of red wine on a simple table, photorealistic lighting and detail",wine_descriptive_87.png
89,16,2,2,"A full-to-the-brim glass of red wine on a small wooden table, photorealistic, high detail, natural lighting",wine_descriptive_88.png
90,28,2,3,"A full-to-the-brim glass of red wine on a small wooden table, with deep crimson liquid touching the rim, in a bright modern kitchen, photorealistic, high-resolution, soft natural lighting",wine_descriptive_89.png
91,23,3,1,"A photorealistic close-up of a single glass of red wine filled completely to the brim, on a simple table in soft natural light",wine_descriptive_90.png
92,18,3,2,"A full-to-the-brim glass of red wine on a small wooden table, softly lit and sharply focused, photorealistic style",wine_descriptive_91.png
93,26,3,3,"A full-to-the-brim glass of deep red wine on a small wooden table, with soft natural lighting and subtle reflections on the clear glass, photorealistic photography style",wine_descriptive_92.png
94,18,4,1,"A full-to-the-brim glass of red wine on a simple table, softly lit in a quiet room, photorealistic style",wine_descriptive_93.png
95,27,4,2,"A full-to-the-brim glass of red wine on a small wooden table, captured in a sharp photorealistic style, with soft dramatic lighting and a slightly blurred warm background",wine_descriptive_94.png
96,36,4,3,"A full-to-the-brim glass of red wine on a small rustic wooden table, captured in a highly detailed photorealistic style, with deep ruby liquid, subtle reflections on the clear glass, and soft warm lighting in the background",wine_descriptive_95.png
97,20,1,1,"A photorealistic close-up of a full-to-the-brim glass of red wine on a plain table, studio lighting, shallow depth of field",wine_descriptive_96.png
98,26,1,2,"A photorealistic close-up of a full-to-the-brim glass of red wine on a small table, with deep red liquid and a clear transparent glass, softly lit indoors.",wine_descriptive_97.png
99,20,1,3,"A full-to-the-brim glass of red wine on a small white table beside a large green plant, photorealistic lighting and reflections",wine_descriptive_98.png
100,13,2,1,"A full-to-the-brim glass of red wine on a simple table, softly lit, photorealistic",wine_descriptive_99.png
101,27,2,2,"A full-to-the-brim glass of red wine on a small wooden table, photorealistic, vivid lighting, deep crimson liquid filling the glass completely, clear reflections on the smooth glass",wine_descriptive_100.png
102,38,2,3,"A full-to-the-brim glass of red wine on a small wooden table, intensely detailed and sharply focused, with deep ruby liquid touching the rim, realistic reflections on the clear glass, and soft natural light illuminating the scene, photorealistic style",wine_descriptive_101.png
103,21,3,1,"Photorealistic close-up of a single glass of red wine filled completely to the brim, on a simple table, soft natural lighting",wine_descriptive_102.png
104,29,3,2,"A full-to-the-brim glass of deep red wine on a small wooden table, captured in a sharp, photorealistic style with soft natural lighting and subtle reflections on the clear glass",wine_descriptive_103.png
105,32,3,3,"A full-to-the-brim glass of red wine on a small wooden table, in a dimly lit cozy bar, with deep ruby liquid, clear reflective glass, and a dark rich background, photorealistic photography style",wine_descriptive_104.png
106,24,4,1,"A full-to-the-brim glass of red wine on a simple table, captured in a sharp, detailed, photorealistic style, with soft natural lighting illuminating the scene",wine_descriptive_105.png
107,29,4,2,"A full-to-the-brim glass of red wine on a small wooden table, captured in a sharp, dramatic, softly lit, photorealistic style, with deep crimson liquid and a clear transparent glass",wine_descriptive_106.png
108,32,4,3,"A photorealistic close-up of a perfectly still, crystal-clear wine glass filled completely to the brim with deep red wine, on a smooth reflective table under soft warm lighting, with subtle background blur.",wine_descriptive_107.png
109,18,1,1,"A photorealistic close-up of a full-to-the-brim glass of red wine on a plain table, studio lighting, sharp focus",wine_descriptive_108.png
110,30,1,2,"A photorealistic close-up of a full-to-the-brim glass of red wine on a small wooden table, with deep red liquid touching the rim and soft natural lighting highlighting the clear glass",wine_descriptive_109.png
111,34,1,3,"A photorealistic close-up of a full-to-the-brim glass of red wine on a small white table, the deep crimson liquid touching the rim, with clear reflections on the transparent glass and a soft warm background.",wine_descriptive_110.png
112,17,2,1,"A full-to-the-brim glass of red wine on a simple wooden table, softly lit in a photorealistic style",wine_descriptive_111.png
113,18,2,2,"A full-to-the-brim glass of red wine on a small wooden table, softly lit, photorealistic, high detail, rich color",wine_descriptive_112.png
114,32,2,3,"A full-to-the-brim glass of red wine on a small wooden table, vivid deep-red liquid touching the rim, clear thin-stemmed glass sparkling under soft warm light, photorealistic, high detail, shallow depth of field",wine_descriptive_113.png
115,21,3,1,"Photorealistic close-up of a single glass of red wine filled completely to the brim, on a simple table with soft lighting",wine_descriptive_114.png
116,20,3,2,"A full-to-the-brim glass of red wine on a small wooden table, softly lit in a cozy room, photorealistic, high detail",wine_descriptive_115.png
117,26,3,3,"A full-to-the-brim glass of deep red wine on a small wooden table, in a softly lit cozy room, photorealistic, high detail, rich color, medium-sized clear glass",wine_descriptive_116.png
118,16,4,1,"A full-to-the-brim glass of red wine on a simple table, sharply focused, softly lit, photorealistic style",wine_descriptive_117.png
119,24,4,2,"A full-to-the-brim glass of red wine on a small wooden table, sharply focused and highly detailed, in a softly lit modern kitchen, photorealistic style",wine_descriptive_118.png
120,24,4,3,"A full-to-the-brim glass of deep red wine on a small rustic wooden table, in a softly lit cozy room, photorealistic, high detail, natural shadows",wine_descriptive_119.png
121,22,1,1,"A photorealistic close-up of a full-to-the-brim glass of red wine on a plain table, studio lighting, high detail, shallow depth of field",wine_descriptive_120.png
122,19,1,2,"A full-to-the-brim glass of red wine on a small wooden table, photorealistic lighting, clear reflections on the smooth glass",wine_descriptive_121.png
123,30,1,3,"A photorealistic close-up of a single, perfectly full glass of red wine filled exactly to the brim, with deep ruby liquid, clear transparent glass, and a dark wooden table background",wine_descriptive_122.png